Year,Position,AlbumTitle,AlbumArtist,RoviAlbumID
2012,1,21,Adele,MW0002080092
2012,2,CHRISTMAS,Michael Buble,
2012,3,TAKE CARE,Drake,MW0002222795
2012,4,RED,Taylor Swift,"MW0002414735
 MW0002543275"
2012,5,UP ALL NIGHT,One Direction,MW0002246441
2012,6,TAILGATES & TANLINES,Luke Bryan,MW0002165106
2012,7,BABEL,Mumford & Sons,"MW0002409657
MW0002557184"
2012,8,TALK THAT TALK,Rihanna,MW0002241043
2012,9,TUSKEGEE,Lionel Richie,MW0002272558
2012,10,EL CAMINO,The Black Keys,MW0002243314
2012,11,BELIEVE,Justin Bieber,MW0002357910
2012,12,OWN THE NIGHT,Lady Antebellum,MW0002191086
2012,13,UNDER THE MISTLETOE,Justin Bieber,MW0002232634
2012,14,BLOWN AWAY,Carrie Underwood,MW0002332213
2012,15,HERE AND NOW,Nickelback,MW0002222499
2012,16,19,Adele,MW0000786424
2012,17,MYLO XYLOTO,Coldplay,MW0002206149
2012,18,WHITNEY: THE GREATEST HITS,Whitney Houston,
2012,19,MY KINDA PARTY,Jason Aldean,MW0002045181
2012,20,SOME NIGHTS,fun.,"MW0002287703
MW0002553354
MW0002669426"
2012,21,OVEREXPOSED,Maroon 5,MW0002358095
2012,22,NOW 41,Various Artists,
2012,23,CHIEF,Eric Church,MW0002165105
2012,24,STRONGER,Kelly Clarkson,MW0002210794
2012,25,TEENAGE DREAM,Katy Perry,MW0002011446
2012,26,PINK FRIDAY: ROMAN RELOADED,Nicki Minaj,MW0002290917
2012,27,MAKING MIRRORS,Gotye,MW0002204056
2012,28,SORRY FOR PARTY ROCKING,LMFAO,"MW0002146739
MW0002328741"
2012,29,SIGH NO MORE,Mumford & Sons,MW0001762194
2012,30,NIGHT TRAIN,Jason Aldean,MW0002412314
2012,31,TM:103: HUSTLERZ AMBITION,Young Jeezy,
2012,32,CLEAR AS DAY,Scotty McCreery,MW0002216456
2012,33,CEREMONIALS,Florence + The Machine,MW0002228356
2012,34,MY LIFE II...THE JOURNEY CONTINUES (ACT 1),Mary J. Blige,"MW0002243084
MW0002415128"
2012,35,UNCAGED,Zac Brown Band,MW0002362119
2012,36,NOW 40,Various Artists,
2012,37,THE TRUTH ABOUT LOVE,P!nk,
